# ================================================
# ENERGY CONSUMPTION TEST RESULTS
# ================================================
#
# Architecture: MVP (mvp)
# Timestamp: 2025-11-15 14:44:02
# Device: SM-A556E
# Package: com.yfy.basearchitecture.mock
# Test Count: 3
#
# METHOD: Hardware Energy Counter
#
# ================================================

Scenario,Energy_mWh,Charge_mAh,Avg_Power_mW,Duration_Sec
Chat_Streaming,21,1400,5,0000,1240,3475,61,36
Shopping_Cart,20,9250,5,0000,1207,6760,62,38
Product_Browsing,20,8150,5,0000,1171,5210,63,96

# ================================================
# STATISTICAL SUMMARY
# ================================================
#
# Chat_Streaming:
#   Mean: 29,52 ± 9,88 mWh (95% CI)
#   Median: 21,14 mWh
#   Std Dev: 10,30 mWh
#   CV: 34,9%
#   Range: 21,07 - 42,13 mWh
#
# Shopping_Cart:
#   Mean: 25,14 ± 8,14 mWh (95% CI)
#   Median: 20,93 mWh
#   Std Dev: 8,49 mWh
#   CV: 33,8%
#   Range: 20,81 - 42,11 mWh
#
# Product_Browsing:
#   Mean: 29,05 ± 9,73 mWh (95% CI)
#   Median: 20,82 mWh
#   Std Dev: 10,15 mWh
#   CV: 34,9%
#   Range: 20,66 - 41,63 mWh
#
# Total Energy: 62,88 mWh
# Average Power: 1206,51 mW
#
# ================================================
